Date,Platform,Orders,Total Sales,Active Platforms
2025-04-07,Jahez,245,24500,1
2025-04-07,HungerStation,198,19800,1
2025-04-08,Jahez,256,25600,1
2025-04-08,HungerStation,212,21200,1
2025-04-09,Jahez,238,23800,1
2025-04-09,HungerStation,185,18500,1
2025-04-10,Jahez,267,26700,1
2025-04-10,HungerStation,223,22300,1
2025-04-11,Jahez,289,28900,1
2025-04-11,HungerStation,234,23400,1
2025-04-12,Jahez,312,31200,1
2025-04-12,HungerStation,256,25600,1
2025-04-13,Jahez,334,33400,1
2025-04-13,HungerStation,278,27800,1 
